,title,content,href
0,"TC editors weigh in: Tech, trends and controversy in the cryptoverse","TC editors weigh in: Tech, trends and controversy in the cryptoverse",https://techcrunch.com/2022/09/18/tc-editors-weigh-in-tech-trends-and-controversy-in-the-cryptoverse/
1,The tide is shifting on tech’s layoff wave. Kind of.,The tide is shifting on tech’s layoff wave. Kind of.,https://techcrunch.com/2022/10/26/the-tide-is-shifting-on-techs-layoff-wave-kind-of/
2,How emerging tech can solve ad desensitization,How emerging tech can solve ad desensitization,https://techcrunch.com/2016/03/13/how-emerging-tech-can-solve-ad-desensitization/
3,Tech is divergent,Tech is divergent,https://techcrunch.com/2017/03/07/tech-is-divergent/
4,Watching Technology Trends Emerge In Africa,Watching Technology Trends Emerge In Africa,https://techcrunch.com/2016/02/03/watching-technology-trends-emerge-in-africa/
5,"Despite Unrest, The Israeli Tech Ecosystem Is Flourishing","Despite Unrest, The Israeli Tech Ecosystem Is Flourishing",https://techcrunch.com/2015/12/24/despite-unrest-the-israeli-tech-ecosystem-is-flourishing/
6,Spotify acquires content moderation tech company Kinzen to address platform safety issues,Spotify acquires content moderation tech company Kinzen to address platform safety issues,https://techcrunch.com/2022/10/05/spotify-acquires-content-moderation-tech-company-kinzen-to-address-platform-safety-issues/
7,Major trends in agtech for 2018,Major trends in agtech for 2018,https://techcrunch.com/2018/03/08/major-trends-in-agtech-for-2018/
8,What do Big Tech earnings tell us about the health of consumer demand?,What do Big Tech earnings tell us about the health of consumer demand?,https://techcrunch.com/2022/07/29/what-do-big-tech-earnings-tell-us-about-consumer-demand-health/
9,The answers to real estate's climate tech questions may be all around us,The answers to real estate's climate tech questions may be all around us,https://techcrunch.com/2022/04/08/the-answers-to-real-estates-climate-tech-questions-may-be-all-around-us/
