,Germany
Aeroponics,0
agricultural robot,7
aquaponics,12
cellular agriculture,1
closed ecological system,17
Controlled ecological life-support system,0
Cultured meat,19
fogponics,0
Genetically modified crops,24
Genetically modified food,10
Genetically modified organism,10
hydroponics,10
Insects as food,1
meat analogue,6
Passive hydroponics,0
Precision agriculture,28
Precision livestock farming,4
Vertical farming,16
arcology,0
Gesture recognition,38
Domed city,0
Translucent concrete,3
AI Art,2
AI Music,1
Drone display,0
Galliane,0
music technology,1
artificial island,1
Carbon capture and storage,60
Carbon dioxide removal,4
Carbon sequestration,3
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,47
4d printing,3
Anticipatory Life Cycle Analysis,0
Artificial muscle,0
Bio-manufacturing,3
Claytronics,0
Construction 3D printing,1
Incremental sheet forming,0
Life-cycle assessment,3
Liquid Crystal Elastomers,1
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,15
Radio-frequency identification,145
Robot end effector,5
self assembly,10
Self-reconfiguring modular robot,0
Smart highway,1
Structural health monitoring,4
Supertall building,0
utility fog,0
Adaptive Learning Technology,0
Augmented learning,0
Gamifying education,17
Intelligent tutoring system,0
Learning Management System,13
Mobile learning,9
Virtual Collaborative Learning,0
Atomtronics,0
Biodegradable electronics,0
Carbon nanotube field-effect transistor,0
Digital scent technology,5
Dynamic inductive charging,45
E-textiles,1
Electronic skin,12
Flexible display,7
Flexible electronics,17
Flexible organic light-emitting diode,0
Gastrobot,0
Holography,25
laser diode headlights,13
Laser video display,0
Memristor,0
Multi-level converter,0
Nanoelectromechanical systems,5
Nanosensor,1
Optical transistor,0
Phonon laser,0
Robotic sensing,0
Solid-state transformer,16
Spintronics,11
three-dimensional integrated circuit,0
Twistronics,0
Virtual retinal display,1
Volumetric display,2
3rd generation solar cell,0
Airborne wind turbine,0
Artificial photosynthesis,17
Biobattery,1
Biomass to liquid,0
Coal liquefaction,4
Combined Cycle Gas Turbine Plant,6
concentrated solar power,6
CZTS solar cell,0
Dye-sensitized solar cell,0
Electric vehicle battery fast charge,40
Energy harvesting,40
Floating Liquefied Natural Gas,1
Flywheel energy storage,0
Fourth-generation biofuel,14
Fusion power,3
Gas generator,9
Gas-cooled fast reactor,0
Gasification,32
Generation IV reactor,1
Grid energy storage,30
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,137
Lead-cooled fast reactor,0
Liquid fluoride thorium reactor,0
Liquid metal battery,0
Lithium ion battery,217
Lithium iron phosphate battery,0
Lithium-air battery,0
Lithium-sulfur battery,1
Magnesium battery,0
Microbial electrolysis cell,0
Microreactor,1
Mini Bioreactors,0
Modular Reactors,1
Molten salt reactor,0
Nanocharging Solar,0
Nanowire battery,1
Ocean thermal energy conversion,3
Oil detection,15
Optical rectenna,0
Organic solar cell,17
Perovskite solar cell,5
Power-to-X,7
Proton Battery,0
Quantum dot solar cell,0
second-generation biofuels,21
Smart grid,144
Sodium-cooled fast reactor,2
Space-based solar power,0
Supercapacitor,7
Supercritical water reactor,0
Third-generation biofuels,1
Thorium fuel cycle,0
Triboelectric Nanogenerator,0
Virtual power Plant,27
Vortex engine,0
Wireless power transfer,14
Zero-energy building,0
Automated journalism,0
Foundation garment,1
Haptic feedback systems,4
Wearable journalism,141
Cryptocurrency,264
Stablecoin,0
Companion robot,6
Cryonics,1
Extreme Life extension,33
Suspended animation,0
5D DVD,0
5g,805
6G,13
Ambient intelligence,4
Artificial brain,0
Artificial general intelligence,937
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,220
Compressive Sensing,0
Deep learning,129
deep trench capacitor,0
Digital image processing,38
Digital image segmentation,0
Distributed ledger,894
DNA Computing,0
DNA digital data storage,0
Edge Computing,65
Edge enhancement,0
Embedded systems in substrate,0
Exascale computing,3
Extreme ultraviolet lithography,12
Facial recognition,45
General-purpose computing on graphics processing units,0
GPT-4,0
Haptic technology,16
Holographic data storage,0
Hyper CD-ROM,0
In-memory processing,0
In-storage processing,0
Indoor positioning system,0
Internet of things,430
Li-Fi,5
Machine translation,4
Machine vision,170
Nanoradio,0
Natural Language Processing,13
Neural Networks,67
Neural-sensing headset,0
next gen web search,0
Open source model,0
Optical computing,0
