,0
0,top technology
1,next technology
2,upcoming technology
3,advanced technology
4,future technology
5,peak technology
6,revolutionary technology
7,engaging technology
8,technology will replace
9,technology will emerge
10,technology will evolve
11,technology will develop
12,solar cryptocurrency 
13,cryptocurrency crypto money market bitcoin currency  cryptocurrencies
14,mining bitcoin miners hardware miner block cryptocurrency coins bitcoins reward
15,green cryptocurrencies
16,fusion nuclear plasma power reactors reactor fission fuel
17,fusion energy nuclear power reactor fission reactors fuel plasma reaction
18,fusion energy confinement magnetic center ions tritium codes practical field
19,sun interior massive gravitational power making fusion sustained
20,brain lobe body cells function parts driver 
21,super space computing
22,moon car computer
23,rocket engines engine speed fuel spacecraft space chemical thrust rockets
24,mars earth speed travel data minutes latency years
25,3d printers printing reality ai
26,iot internet-of-things devices connected smart-home network embedded
27,iot internet devices things smart security data device embedded connected
28,cars electric futurists prototype self-flying 
29,communication issue
30,kaspersky future predict machines answer question emerging homes
31,data home google mobile analytics pc business microsoft work companies
32,evolution editing usher bypass profits heart eliminates regardless laws
33,biological-capabilities human computer 
34,computers memory supercomputer quantum supercomputers computer data cpu compute processing
35,trade countries tariffs
36,budget tax quality development years
37,invention reality virtual new technology things technological vr
