,gpt_aliases0,gpt_aliases1,gpt_aliases2,gpt_aliases3,gpt_aliases4,gpt_aliases5,gpt_aliases6,gpt_aliases7,gpt_aliases8,gpt_aliases9,gpt_aliases10,wiki_aliases0
fusion power,nuclear fusion,thermonuclear fusion,magnetic confinement fusion,laserdriven fusion,aneutronic fusion,,,,,,,nuclear fusion power
synthetic milk,synthetic milk,,,,,,,,,,,
magnet satellite propulsion,magnet satellite propulsion,electromagnetic propulsion,magnetically propelled satellite,magnetically levitated satellite,magnetically propelled spacecraft,,,,,,,
process for synthetic material growth,synthesis,growth,production,manufacture,,,,,,,,
asteroid redirection,asteroid redirection,asteroid deflection,asteroid mitigation,asteroid impact avoidance,,,,,,,,
ectopic organoid,ectopic organoid,ectopic organoid,abnormal organoid,nonnative organoid,,,,,,,,
tiretrack that can convert according to terrain,,,,,,,,,,,,
plastic degrading enzyme,plastic degrading enzyme,plasticdigesting enzyme,plasticeating enzyme,plasticdestroying enzyme,,,,,,,,
spheroid reservoir bioartificial liver,spheroid reservoir bioartificial liver,bioartificial liver device, bioartificial liver support system,artificial liver,,,,,,,,
ghost heart,ghost heart,phantom heart,shadow heart,spirit heart,,,,,,,,
nanoparticle coating,nanoparticle coating,nanoparticle film,nanoparticle coating,nanoparticle surface treatment,,,,,,,,nanoparticles
silicon plate for battery,silicon wafer,silicon disc,silicon wafer cell,,,,,,,,,
"""motionless"" rooftop wind generator",rest,,,,,,,,,,,
protein from bacteria,protein,bacteria,cell wall proteins,membrane proteins,enzymes,,,,,,,
anti-gps jamming, device,antiGPS jamming device,GPS blocker, GPS scrambler,GPS jammer,,,,,,,
magnetically-stimulated secretome release,magneticallystimulated secretome release,,change,magneticallyinduced secretome release,magneticallytriggered secretome release,magneticallypromoted secretome release,,,,,,
transparent radiative cooler,radiative cooling panel,radiative cooling device,radiative cooling system,,,,,,,,,
extracellular vesicle-based therapies,extracellular vesiclebased therapies,extracellular vesiclebased therapies,cellderived vesicle therapies,exosomebased therapies,microvesiclebased therapies,nanovesiclebased therapies,,,,,,
