,gpt_aliases0,gpt_aliases1,gpt_aliases2,gpt_aliases3,gpt_aliases4,gpt_aliases5,gpt_aliases6,gpt_aliases7,gpt_aliases8,gpt_aliases9,wiki_aliases0
synthetic milk,fake milk,imitation milk,powdered milk,condensed milk,milk,soy milk,almond milk,oat milk,rice milk,,
process for synthetic material growth,synthesis,fabrication,production,creation,,,,,,,
urine recycling into fertilizer,Urine recycling,fertilizer,Urine recycling,fertilizer,Urine recycling,compost,Urine recycling,soil amendment,Urine recycling,agricultural fertilizer,
ectopic organoid,abnormal growth,tumor,neoplasm,,,,,,,,
transparent radiative cooler,,,,,,,,,,,
magnetically-stimulated secretome release,electromagneticallystimulated secretome release,magnetostimulated secretome release,magneticallyinduced secretome release,,,,,,,,
asteroid redirection,Asteroid redirection,asteroid deflection,asteroid interception,asteroid mitigation,,,,,,,
polygenic risk score technology,genetic risk score technology,genetic prediction technology,polygenic prediction technology,,,,,,,,
nanoparticle coating,Nanoparticle coating,A nanofilm,A nanolayer,,,,,,,,nanoparticles
bio2coat,bio,ecocoat,,,,,,,,,
anti-gps jamming,GPS disruption,GPS interference,GPS signal jamming,,,,,,,,
fusion power,Nuclear fusion,thermonuclear fusion,magnetic confinement fusion,inertial confinement fusion,aneutronic fusion,laserdriven fusion,particle beam fusion,,,,nuclear fusion power
magnet satellite propulsion,electromagnetic propulsion,plasma propulsion,ion propulsion,field emission propulsion,electrostatic propulsion,,,,,,
voice biomarker analysis,Speech analysis,voice analysis,vocal analysis,,,,,,,,
ghost heart,Ethereal heart,Ghostly heart,Otherworldly heart,Transcendent heart,Unearthly heart,,,,,,
silicon plate for battery,battery plate,cell plate,electrode,,,,,,,,
protein from bacteria,Protein,bacteria,bacterial protein,proteins,bacteria,,,,,,
tiretrack that can convert according to terrain,skid mark,rut,groove,channel,,,,,,,
upcycling food waste,reusing,recycling,,,,,,,,,
plastic degrading enzyme,plastic degrading enzyme,biodegradable plastic,compostable plastic,ecofriendly plastic,green plastic,sustainable plastic,,,,,
"""motionless"" rooftop wind generator",rest,,,,,,,,,,
spheroid reservoir bioartificial liver,Artificial liver,Bioartificial liver,Spheroid reservoir liver,Spheroid reservoir bioartificial liver,Spheroid reservoir bioartificial liver device,,,,,,
extracellular vesicle-based therapies,virusbased therapies,cellbased therapies,genebased therapies,proteinbased therapies,,,,,,,
